LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,LOCATION
0000317127-0001-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #5244,8817 S SEPULVEDA BLVD,LOS ANGELES,90045-4809,8817 SEPULVEDA 90045-4809,"(33.9571, -118.3962)"
0000317128-0001-4,STARBUCKS CORPORATION,STARBUCKS COFFEE #5213,12100 SANTA MONICA BLVD,LOS ANGELES,90025-2516,12100 SANTA MONICA 90025-2516,"(34.0405, -118.4633)"
0000317128-0002-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #59109,5307 W CENTURY BLVD,LOS ANGELES,90045-5909,5307 Century 90045-5909,"(33.9456, -118.3733)"
0000330070-0001-0,STARBUCKS CORPORATION,STARBUCKS COFFEE 8617,2216 COLORADO BLVD,LOS ANGELES,90041-1143,2216 COLORADO 90041-1143,"(34.1392, -118.2147)"
0000364283-0001-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #5277,6333 W 3RD STREET #112,LOS ANGELES,90036-3191,6333 3RD 90036-3191,"(34.0713, -118.36)"
0000364285-0001-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #5275,100 WASHINGTON BLVD,MARINA DEL REY,90292-5126,100 WASHINGTON 90292-5126,"(33.9797, -118.4656)"
0000364285-0002-9,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 51180,13641   SHERMAN WAY,VAN NUYS,91405-2845,13641 SHERMAN 91405-2845,"(34.2017, -118.4304)"
0000371553-0001-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #5284,505 S FLOWER STREET SUITE #B13,LOS ANGELES,90071-2118,505 FLOWER 90071-2118,"(34.0515, -118.256)"
0000372284-0001-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #5289,350 S GRAND AVENUE #B5,LOS ANGELES,90071-3461,350 GRAND 90071-3461,"(34.0523, -118.2517)"
0000373841-0002-4,STARBUCKS CORPORATION,STARBUCKS COFFEE #14211,8844 S SEPULVEDA BLVD,LOS ANGELES,90045-4833,8844 SEPULVEDA 90045-4833,"(33.9565, -118.3961)"
0000373841-0003-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #58660,12980 FOOTHILL BLVD,SYLMAR,91342-4956,12980 Foothill 91342-4956,"(34.2957, -118.4181)"
0000373842-0001-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #5373,7122 BEVERLY BLVD,LOS ANGELES,90036-2569,7122 BEVERLY 90036-2569,"(34.0761, -118.3447)"
0000386620-0001-6,STARBUCKS CORPORATION,STARBUCKS COFFEE #5291,444 S FLOWER STREET #170,LOS ANGELES,90071-2900,444 FLOWER 90071-2900,"(34.0522, -118.2554)"
0000400401-0001-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #5833,15501 DEVONSHIRE STREET,MISSION HILLS,91345-2620,15501 DEVONSHIRE 91345-2620,"(34.2573, -118.4696)"
0000401688-0001-2,STARBUCKS COFFEE COMPANY #5394,STARBUCKS COFFEE CO,11705 NATIONAL BLVD,LOS ANGELES,90064-3644,11705 NATIONAL 90064-3644,"(34.0226, -118.4388)"
0000411884-0001-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #5911,3680 WILSHIRE BLVD,LOS ANGELES,90010-2707,3680 WILSHIRE 90010-2707,"(34.0616, -118.3059)"
0000438009-0001-9,STARBUCKS,,515 N GRAND AVENUE #528,LOS ANGELES,90012-2149,515 GRAND 90012,"(34.0604, -118.244)"
0000445521-0001-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #5785,6081 CENTER DRIVE #108,LOS ANGELES,90045-8830,6081 CENTER 90045-8830,"(33.9781, -118.393)"
0000448820-0001-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #5341,20516 DEVONSHIRE STREET # B,CHATSWORTH,91311-3207,20516 DEVONSHIRE 91311-3207,"(34.2572, -118.5805)"
0000456797-0001-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #5402,7055 W SUNSET BLVD,LOS ANGELES,90028-7509,7055 SUNSET 90028-7509,"(34.0979, -118.343)"
0000472042-0001-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #5394,11705 NATIONAL BLVD,LOS ANGELES,90064-3644,11705 NATIONAL 90064-3644,"(34.0226, -118.4388)"
0000477370-0001-6,STARBUCKS CORPORATION,STARBUCKS COFFEE #5250,8985 VENICE BLVD #CB 2,LOS ANGELES,90034-3344,8985 VENICE 90034-3344,"(34.0282, -118.3904)"
0000486068-0001-3,CHIPOTLE MEXICAN GRILL INC,,5430 TOPANGA CANYON BLVD,WOODLAND HILLS,91367-6313,5430 TOPANGA CANYON 91367-6313,"(34.1693, -118.6057)"
0000486068-0003-0,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1538,7101 MELROSE AVENUE,LOS ANGELES,90046-7617,7101 MELROSE 90046-7617,"(34.0834, -118.344)"
0000486068-0004-8,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1569,5600 VAN NUYS BLVD,VAN NUYS,91401-4602,5600 VAN NUYS 91401-4602,"(34.1721, -118.4486)"
0000486068-0006-4,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1996,3939 CRENSHAW BLVD SUITE #A,BALDWIN HILLS,90008-2541,3939 CRENSHAW 90008-2541,"(34.0138, -118.3351)"
0000486068-0007-2,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1967,301 N LARCHMONT BLVD,LOS ANGELES,90004-3011,301 LARCHMONT 90004-3011,"(34.0762, -118.3236)"
0000486068-0008-1,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1945,4550 W PICO BLVD UNIT #C1301,LOS ANGELES,90019-4232,4550 PICO 90019-4232,"(34.0487, -118.3357)"
0000486068-0010-2,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #2093,14006 RIVERSIDE DRIVE UNIT #249B,SHERMAN OAKS,91423-6390,14006 RIVERSIDE 91423-6390,"(34.1576, -118.4381)"
0000486068-0011-1,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #2095,10250 SANTA MONICA BLVD UNIT #FC-2,LOS ANGELES,90067-6623,10250 SANTA MONICA 90067-6623,"(34.0594, -118.4208)"
0000486068-0014-5,CHIPOTLE MEXICAN GRILL INC,CIPOTLE MEXICAN GRILL #1585,11690 SAN VICENTE BLVD,LOS ANGELES,90049-5104,11690 SAN VICENTE 90049-5104,"(34.0535, -118.4653)"
0000486068-0015-3,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #2374,5047 EAGLE ROCK BLVD,LOS ANGELES,90041-1923,5047 EAGLE ROCK 90041-1923,"(34.1381, -118.2144)"
0000486068-0016-1,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #2185,9175 DE SOTO AVENUE,CHATSWORTH,91311-4906,9175 DE SOTO 91311-4906,"(34.2376, -118.5885)"
0000486068-0018-8,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL # 2361,7940 VAN NUYS BLVD UNIT #2A,PANORAMA CITY,91402-6084,7940 VAN NUYS 91402-6084,"(34.2153, -118.4487)"
0000486068-0021-8,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL # 758,110 S FAIRFAX AVENUE SUITE #A12,LOS ANGELES,90036-2167,110 FAIRFAX 90036-2167,"(34.0741, -118.3614)"
0000486068-0022-6,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL (#945),3748 S FIGUEROA STREET,LOS ANGELES,90007-4315,3748 FIGUEROA 90007-4315,"(34.0169, -118.2827)"
0000486068-0023-4,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL # 1084,1077 BROXTON AVENUE,LOS ANGELES,90024-2803,1077 BROXTON 90024-2803,"(34.0618, -118.4466)"
0000486068-0025-1,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1412,12175 VENTURA BLVD,STUDIO CITY,91604-2515,12175 VENTURA 91604-2515,"(34.1433, -118.3975)"
0000486068-0026-9,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1310,6290 W SUNSET BLVD,LOS ANGELES,90028-8711,6290 SUNSET 90028-8711,"(34.0979, -118.3264)"
0000486068-0027-7,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #913,5550 WILSHIRE BLVD SUITE #101B,LOS ANGELES,90036-3809,5550 WILSHIRE 90036-3809,"(34.0622, -118.3494)"
0000486068-0028-5,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1413,7660 W SUNSET BLVD,LOS ANGELES,90046-2724,7660 SUNSET 90046-2724,"(34.098, -118.3566)"
0000486068-0029-3,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1500,601 W 7TH STREET,LOS ANGELES,90017-3801,601 7TH 90017-3801,"(34.0473, -118.2565)"
0000486068-0030-7,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL,18700 VENTURA BLVD UNIT #130,TARZANA,91356-3303,18700 VENTURA 91356-3303,"(34.1706, -118.5407)"
0000486068-0031-5,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1647,6443 CANOGA AVENUE,WOODLAND HILLS,91367-2408,6443 CANOGA 91367-2408,"(34.1874, -118.5975)"
0000486068-0032-3,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1675,940 N WESTERN AVENUE UNIT #E,SAN PEDRO,90732-2403,940 WESTERN 90732-2403,"(33.7517, -118.3089)"
0000486068-0033-1,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1789,6600 TOPANGA CANYON BLVD,CANOGA PARK,91303-2609,6600 TOPANGA CANYON 91303-2609,"(34.1898, -118.6058)"
0000486068-0035-8,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1746,19332 NORDHOFF STREET,NORTHRIDGE,91324-2415,19332 NORDHOFF 91324-2415,"(34.2354, -118.5549)"
0000486068-0036-6,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1681,16959 DEVONSHIRE STREET,GRANADA HILLS,91344-7407,16959 DEVONSHIRE 91344-7407,"(34.2575, -118.5014)"
0000486068-0037-4,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL INC 1843,5240 LANKERSHIM BLVD,NORTH HOLLYWOOD,91601-3109,5240 LANKERSHIM 91601-3109,"(34.1657, -118.3751)"
0000486068-0038-2,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL 1913,3183 WILSHIRE BLVD SUITE #195,LOS ANGELES,90010-1280,3183 WILSHIRE 90010-1280,"(34.0617, -118.2911)"
0000486068-0039-1,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #1942,14708   VENTURA BLVD   UNIT #B,SHERMAN OAKS,91403-3674,14708 VENTURA 91403-3674,"(34.1511, -118.4537)"
0000486068-0040-4,CHIPOTLE MEXICAN GRILL INC,CHIPOLTE MEXICAN GRILL #2461,8420   BEVERLY BLVD,LOS ANGELES,90048-1234,8420 BEVERLY 90048-1234,"(0.0, 0.0)"
0000486068-0041-2,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #2738,15207 W SUNSET BLVD,PACIFIC PALISADES,90272-3567,15207 SUNSET 90272-3567,"(34.0465, -118.5243)"
0000486068-0042-1,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #2944,11711   NATIONAL BLVD,LOS ANGELES,90064-3644,11711 NATIONAL 90064-3644,"(34.0226, -118.4392)"
0000486068-0043-9,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #2911,13075   VICTORY BLVD   SUITE #102,NORTH HOLLYWOOD,91606-2925,13075 VICTORY 91606-2925,"(34.1881, -118.417)"
0000486068-0045-5,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #2988,301 W OLYMPIC BLVD   SUITE #A,LOS ANGELES,90015-0000,301 OLYMPIC 90015-0000,"(0.0, 0.0)"
0000486068-0047-1,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #3119,1122 W 6TH STREET   SUITE #101,LOS ANGELES,90017-1893,1122 6TH 90017-1893,"(34.0543, -118.2629)"
0000486068-0048-0,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #3062,2134 W SUNSET BLVD   SUITE #F,LOS ANGELES,90026-1695,2134 SUNSET 90026-1695,"(34.0771, -118.2647)"
0000486068-0049-8,CHIPOTLE MEXICAN GRILL INC,CHIPOLTE MEXICAN GRILL #3094,6719   LA TIJERA BLVD   SUITE #A&B,LOS ANGELES,90045-,6719 LA TIJERA 90045-,"(0.0, 0.0)"
0000486068-0050-1,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #2711,10310   SEPULVEDA BLVD,MISSION HILLS,91345-2422,10310 SEPULVEDA 91345-2422,"(34.2579, -118.4663)"
0000486068-0051-0,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #3026,8420   BALBOA BLVD   SUITE #110,NORTHRIDGE,91325-,8420 BALBOA 91325-,"(0.0, 0.0)"
0000486068-0052-8,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #3534,9160   RESEDA BLVD,NORTHRIDGE,91324-3030,9160 RESEDA 91324-3030,"(34.2369, -118.5357)"
0000486068-0053-6,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #3755,20111 RINALDI STREET BUILDING #S6,PORTER RANCH,91326-4923,20111 Rinaldi 91326-4923,"(34.2755, -118.5725)"
0000486068-0054-4,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #3793,2200 TROJAN WAY,LOS ANGELES,90033-2704,2200 TROJAN 90033-2704,"(34.0495, -118.2114)"
0000486068-0055-2,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #4024,2595 S HOOVER STREET,LOS ANGELES,90007-4801,2595 HOOVER 90007-4801,"(34.0321, -118.2842)"
0000486068-0057-9,CHIPOTLE MEXICAN GRILL INC,,1550 S LA CIENEGA BLVD,LOS ANGELES,90035-3713,1550 La Cienega 90035-3713,"(34.0492, -118.3758)"
0000501929-0001-5,STARBUCKS CORPORATION,STARBUCKS 5318,9935 TOPANGA CANYON BLVD,CHATSWORTH,91311-3602,9935 TOPANGA CANYON 91311-3602,"(34.2505, -118.6061)"
0000531468-0001-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #6459,9420 RESEDA BLVD #1,NORTHRIDGE,91324-6001,9420 RESEDA 91324-6001,"(34.2413, -118.536)"
0000532314-0001-6,STARBUCKS CORPORATION,STARBUCKS COFFEE #5996,13351 RIVERSIDE DRIVE #A,SHERMAN OAKS,91423-2542,13351 RIVERSIDE 91423-2542,"(34.1576, -118.4241)"
0000548717-0001-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #5447,12824 VENTURA BLVD,N HOLLYWOOD,91604-2367,12824 VENTURA 91604-2367,"(34.1448, -118.4121)"
0000551373-0001-9,ONEMOR INC,MCDONALD'S,1625 WILSHIRE BLVD,LOS ANGELES,90017-1610,1625 WILSHIRE 90017-1610,"(34.0557, -118.2709)"
0000552209-0001-0,STARBUCKS CORPORATION,STARBUCKS COFFEE 6557,401 E 2ND STREET #E,LOS ANGELES,90012-4204,401 2ND 90012-4204,"(34.0477, -118.2393)"
0000554785-0001-6,STARBUCKS CORPORATION,STARBUCKS COFFEE # 6577,735 S FIGUEROA STREET #307,LOS ANGELES,90017-2563,735 FIGUEROA 90017-2563,"(34.0488, -118.2603)"
0000554785-0002-4,STARBUCKS CORPORATION,STARBUCKS #11233,523 W 6TH STREET #R533S,LOS ANGELES,90014-1217,523 6TH 90014-1217,"(34.0482, -118.2543)"
0000554785-0003-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #10586,1090 WILSHIRE BLVD,LOS ANGELES,90017-2416,1090 WILSHIRE 90017-2416,"(34.0523, -118.2632)"
0000554785-0005-9,STARBUCKS CORPORATION,STARBUCKS COFFEE #13286,4430 YORK BLVD,LOS ANGELES,90041-3328,4430 YORK 90041-3328,"(34.1239, -118.2198)"
0000554785-0006-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #14412,3344 S LA CIENEGA BLVD,LOS ANGELES,90016-3115,3344 LA CIENEGA 90016-3115,"(34.0271, -118.372)"
0000554785-0008-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #5698,1250 S LA BREA AVENUE,LOS ANGELES,90019-1628,1250 LA BREA 90019-1628,"(34.0515, -118.3439)"
0000554785-0009-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #5995,1850 W SLAUSON AVENUE,LOS ANGELES,90047-1126,1850 SLAUSON 90047-1126,"(33.9891, -118.3117)"
0000554785-0010-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #6688,1601 WILSHIRE BLVD,LOS ANGELES,90017-1610,1601 WILSHIRE 90017-1610,"(34.0554, -118.2702)"
0000554785-0011-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #9506,4700 W PICO BLVD,LOS ANGELES,90019-4267,4700 PICO 90019-4267,"(34.0485, -118.3382)"
0000554785-0012-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #9505,4177 W WASHINGTON BLVD,LOS ANGELES,90018-1055,4177 WASHINGTON 90018-1055,"(34.0398, -118.3303)"
0000554785-0013-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #9683,7902 VAN NUYS BLVD UNIT #B-2,VAN NUYS,91402-6084,7902 VAN NUYS 91402-6084,"(34.2146, -118.4487)"
0000554785-0014-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #15062,800 N ALAMEDA STREET,LOS ANGELES,90012-2177,800 ALAMEDA 90012-2177,"(34.0561, -118.2374)"
0000554785-0016-4,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 17331,600 W 9TH STREET,LOS ANGELES,90015-4301,600 9TH 90015-4301,"(34.0451, -118.2603)"
0000576494-0001-8,HOMAK ENTERPRISES INC,MCDONALD'S #27077 | MCDONALDS # 27077,18909 VENTURA BLVD,TARZANA,91356-3211,18909 VENTURA 91356-3211,"(34.1723, -118.5449)"
0000583456-0001-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #6610,4800 LAUREL CANYON BLVD,VALLEY VILLAGE,91607-3717,4800 LAUREL CANYON 91607-3717,"(34.1576, -118.3964)"
0000584039-0001-8,AL-MATT INC,MCDONALD'S RESTAURANT,505 W FLORENCE AVENUE,LOS ANGELES,90044-6101,505 FLORENCE 90044-6101,"(33.9746, -118.2829)"
0000584427-0001-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #5959,19313 VICTORY BLVD #1,TARZANA,91335-6302,19313 VICTORY 91335-6302,"(34.1865, -118.5539)"
0000587235-0001-8,STARBUCKS CORPORATION,STARBUCKS COFFEE 6608,300 E 9TH STREET,LOS ANGELES,90015-1802,300 9TH 90015-1802,"(34.04, -118.2532)"
0000603837-0001-1,STARBUCKS CORPORATION,STARBUCKS COFFEE 6431,28190 S WESTERN AVENUE,SAN PEDRO,90732-1248,28190 WESTERN 90732-1248,"(33.7637, -118.3113)"
0000646017-0001-6,SANCHEZ FAMILY CORPORATION,MCDONALD'S #6688,201 W WASHINGTON BLVD,LOS ANGELES,90015-3514,201 WASHINGTON 90015-3514,"(34.032, -118.2667)"
0000649039-0001-4,STARBUCKS CORPORATION,STARBUCKS COFFEE #5487,20054 VENTURA BLVD,WOODLAND HILLS,91364-2637,20054 VENTURA 91364-2637,"(34.1712, -118.5702)"
0000649093-0001-9,"MCDONALD'S RESTAURANTS OF CALIFORNIA, INC.",MCDONALD'S 5547 | MCDONALDS #5547,1452 W CARSON STREET,TORRANCE,90501-3920,1452 CARSON 90501-3920,"(33.8315, -118.3028)"
0000649093-0030-2,"MCDONALD'S RESTAURANTS OF CALIFORNIA, INC.",MCDONALD'S 27113,1845 S LA CIENEGA BLVD,LOS ANGELES,90035-4603,1845 LA CIENEGA 90035-4603,"(34.0433, -118.3765)"
0000666105-0001-4,STARBUCKS CORPORATION,STARBUCKS COFFEE # 5485,21504 VICTORY BLVD,WOODLAND HILLS,91367-2423,21504 VICTORY 91367-2423,"(34.188, -118.5997)"
0000666146-0001-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #5461,6102 W SUNSET BLVD #6102,LOS ANGELES,90028-6424,6102 SUNSET 90028-6424,"(34.098, -118.3223)"
0000679696-0001-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #5793,2919 LOS FELIZ BLVD #6,LOS ANGELES,90039-1544,2919 LOS FELIZ 90039-1544,"(34.1259, -118.2639)"
0000680765-0002-2,WALMART INC,WALMART STORE #5072,19503 NORMANDIE AVENUE,TORRANCE,90501-1361,19503 NORMANDIE 90501-1361,"(33.8542, -118.2992)"
0000680765-0005-7,WALMART INC,WAL-MART NEIGHBORHOOD MARKET #5605 | WALMART MARKET #5605,14530 NORDHOFF STREET,PANORAMA CITY,91402-1811,14530 NORDHOFF 91402-1811,"(34.2354, -118.4488)"
0000680765-0007-3,WALMART INC,WALMART STORE #2568,8333 VAN NUYS BLVD,PANORAMA CITY,91402-3607,8333 VAN NUYS 91402-3607,"(34.2226, -118.4488)"
0000680765-0009-0,WALMART INC,WALMART STORE #2526,19821 RINALDI STREET,PORTER RANCH,91326-4145,19821 RINALDI 91326-4145,"(34.275, -118.5663)"
0000680765-0010-3,WALMART INC,WALMART STORE #5152,6433 FALLBROOK AVENUE,WEST HILLS,91307-3543,6433 FALLBROOK 91307-3543,"(34.1871, -118.6233)"
0000708421-0001-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #6782,16222 NORDHOFF STREET,NORTH HILLS,91343-3806,16222 NORDHOFF 91343-3806,"(34.2356, -118.4855)"
0000710339-0001-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #6451,9824 NATIONAL BLVD SUITE #A,LOS ANGELES,90034-2713,9824 NATIONAL 90034-2713,"(34.031, -118.4014)"
0000739257-0001-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #5488,5020 WILSHIRE BLVD,LOS ANGELES,90036-4315,5020 WILSHIRE 90036-4315,"(34.0621, -118.3393)"
0000826573-0001-9,STARBUCKS COFFEE COMPANY # 5549,STARBUCKS COFFEE #5549,2950 N BEVERLY GLEN CIRCLE,LOS ANGELES,90077-1724,2950 BEVERLY GLEN 90077-1724,"(34.1275, -118.4445)"
0000840830-0001-4,STARBUCKS CORPORATION,STARBUCKS COFFEE #5567,1898 WESTWOOD BLVD,LOS ANGELES,90025-4612,1898 WESTWOOD 90025-4612,"(34.0481, -118.4354)"
0000844737-0001-7,STARBUCKS CORPORATION,STARBUCK COFFEE #9228,2049 CENTURY PARKS  E UNIT #ROL16,LOS ANGELES,90067-3101,2049 CENTURY 90067-3101,"(34.0591, -118.4126)"
0000844743-0001-2,STARBUCKS CORPORATION,STARBUCKS COFFEE 9233,1999 AVENUE OF THE STARS SUITE #100A,LOS ANGELES,90067-4624,1999 AVENUE OF THE STARS 90067-4624,"(34.0586, -118.416)"
0000845625-0001-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #563,6516 PLATT AVENUE,WEST HILLS,91307-3218,6516 PLATT 91307-3218,"(34.1884, -118.6427)"
0000845627-0001-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #548,14622 VENTURA BLVD #116,SHERMAN OAKS,91403-3662,14622 VENTURA 91403-3662,"(34.1514, -118.4519)"
0000845628-0001-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #508,11707 SAN VICENTE BLVD,LOS ANGELES,90049-6628,11707 SAN VICENTE 90049-6628,"(34.0536, -118.4661)"
0000845629-0001-1,STARBUCKS CORPORATION,STARBUCKS COFFEE CO #536,1161 WESTWOOD BLVD,LOS ANGELES,90024-3419,1161 WESTWOOD 90024-3419,"(34.0589, -118.444)"
0000845629-0002-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #13222,800 W OLYMPIC BLVD UNIT #102,LOS ANGELES,90015-1361,800 OLYMPIC 90015-1361,"(34.045, -118.2639)"
0000855742-0001-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #9230,217 N HILL STREET,LOS ANGELES,90012-2705,217 HILL 90012-2705,"(34.0556, -118.2454)"
0000859652-0001-6,STARBUCKS CORPORATION,STARBUCKS COFFEE #5577,6066 W OLYMPIC BLVD,LOS ANGELES,90036-4402,6066 OLYMPIC 90036-4402,"(34.0581, -118.3634)"
0000860517-0001-7,STARBUCKS CORPORATION,STARBUCKS COFFEE CO #507,206 N LARCHMONT BLVD,LOS ANGELES,90004-3707,206 LARCHMONT 90004-3707,"(34.0747, -118.3236)"
0000861981-0001-5,STARBUCKS CORP,STARBUCKS COFFEE #5379,5545 W SUNSET BLVD #106,LOS ANGELES,90028-8521,5545 SUNSET 90028-8521,"(34.098, -118.311)"
0000864275-0001-4,STARBUCKS CORPORATION,STARBUCKS COFFEE #5552,15030 VENTURA BLVD #1 A,SHERMAN OAKS,91403-5470,15030 VENTURA 91403-5470,"(34.1528, -118.4604)"
0000864309-0001-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #5565,2215 WESTWOOD BLVD,LOS ANGELES,90064-2098,2215 WESTWOOD 90064-2098,"(34.0435, -118.4314)"
0000910728-0001-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #5627,19500 PLUMMER STREET #F4,NORTHRIDGE,91324-2147,19500 PLUMMER 91324-2147,"(34.2427, -118.5579)"
0000947624-0001-9,STARBUCKS CORPORATION,STARBUCKS COFFEE #5643,17901 CHATSWORTH STREET,GRANADA HILLS,91344-5606,17901 CHATSWORTH 91344-5606,"(34.2649, -118.5234)"
0000947625-0001-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #5683,2556 GLENDALE BLVD,LOS ANGELES,90039-3220,2556 GLENDALE 90039-3220,"(34.104, -118.2591)"
0000951177-0002-1,TAMBIEN INC,MCDONALD'S,850 W ROSECRANS AVENUE,GARDENA,90247-2757,850 Rosecrans 90247-2757,"(33.9015, -118.2911)"
0000957670-0001-5,P R PERNECKY MANAGEMENT CORP,MCDONALD'S,4947 HUNTINGTON DRIVE N,LOS ANGELES,90032-1643,4947 HUNTINGTON 90032-1643,"(34.0875, -118.1752)"
0000957670-0002-3,P R PERNECKY MANAGEMENT CORP,MCDONALD'S,5008 N FIGUEROA STREET,LOS ANGELES,90042-3920,5008 FIGUEROA 90042-3920,"(34.105, -118.202)"
0000966487-0001-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #5694,2470 S WESTERN AVENUE,SAN PEDRO,90732-4359,2470 WESTERN 90732-4359,"(33.7231, -118.3126)"
0000969609-0001-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #5651,1400 W 190TH STREET #F,TORRANCE,90501-1136,1400 190TH 90501-1136,"(33.8583, -118.3021)"
0000991179-0001-7,STARBUCKS CORPORATION,STARBUCK'S COFFEE #5775,6743 HOLLYWOOD BLVD,HOLLYWOOD,90028-4604,6743 HOLLYWOOD 90028-4604,"(34.1015, -118.3374)"
0000995107-0001-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #5734,10965 VENTURA BLVD,STUDIO CITY,91604-3341,10965 VENTURA 91604-3341,"(34.1401, -118.3694)"
